Store,Date,Type,y_true,SPLH,IPLH,Hours_Actual_Variable,Hours_Actual_Baseline,Hours_Actual
41,2012-09-28,A,1307928.01,200.0,50.0,6539.64005,56.0,6595.64005
41,2012-10-05,A,1400160.95,200.0,50.0,7000.804749999999,56.0,7056.804749999999
41,2012-10-12,A,1409544.97,200.0,50.0,7047.72485,56.0,7103.72485
41,2012-10-19,A,1326197.24,200.0,50.0,6630.9862,56.0,6686.9862
41,2012-10-26,A,1316542.59,200.0,50.0,6582.71295,56.0,6638.71295
42,2012-09-07,C,617405.35,150.0,40.0,4116.035666666667,56.0,4172.035666666667
42,2012-09-14,C,586737.66,150.0,40.0,3911.5844,56.0,3967.5844
42,2012-09-21,C,527165.7,150.0,40.0,3514.4379999999996,56.0,3570.4379999999996
42,2012-09-28,C,505978.46,150.0,40.0,3373.1897333333336,56.0,3429.1897333333336
42,2012-10-05,C,593162.53,150.0,40.0,3954.416866666667,56.0,4010.416866666667
42,2012-10-12,C,612379.9,150.0,40.0,4082.532666666667,56.0,4138.532666666667
42,2012-10-19,C,541406.98,150.0,40.0,3609.3798666666667,56.0,3665.3798666666667
42,2012-10-26,C,514756.08,150.0,40.0,3431.7072000000003,56.0,3487.7072000000003
43,2012-09-07,C,663814.18,150.0,40.0,4425.427866666667,56.0,4481.427866666667
43,2012-09-14,C,625196.94,150.0,40.0,4167.9796,56.0,4223.9796
43,2012-09-21,C,601990.02,150.0,40.0,4013.2668000000003,56.0,4069.2668000000003
43,2012-09-28,C,577792.32,150.0,40.0,3851.9487999999997,56.0,3907.9487999999997
43,2012-10-05,C,642614.89,150.0,40.0,4284.099266666667,56.0,4340.099266666667
43,2012-10-12,C,619369.72,150.0,40.0,4129.131466666667,56.0,4185.131466666667
43,2012-10-19,C,623919.23,150.0,40.0,4159.461533333333,56.0,4215.461533333333
43,2012-10-26,C,587603.55,150.0,40.0,3917.3570000000004,56.0,3973.3570000000004
44,2012-09-07,C,338737.33,150.0,40.0,2258.248866666667,56.0,2314.248866666667
44,2012-09-14,C,347726.67,150.0,40.0,2318.1778,56.0,2374.1778
44,2012-09-21,C,336017.6,150.0,40.0,2240.117333333333,56.0,2296.117333333333
44,2012-09-28,C,355307.94,150.0,40.0,2368.7196,56.0,2424.7196
44,2012-10-05,C,337390.44,150.0,40.0,2249.2696,56.0,2305.2696
44,2012-10-12,C,337796.13,150.0,40.0,2251.9742,56.0,2307.9742
44,2012-10-19,C,323766.77,150.0,40.0,2158.4451333333336,56.0,2214.4451333333336
44,2012-10-26,C,361067.07,150.0,40.0,2407.1138,56.0,2463.1138
45,2012-09-07,B,766512.66,180.0,45.0,4258.403666666667,56.0,4314.403666666667
45,2012-09-14,B,702238.27,180.0,45.0,3901.3237222222224,56.0,3957.3237222222224
45,2012-09-21,B,723086.2,180.0,45.0,4017.1455555555553,56.0,4073.1455555555553
45,2012-09-28,B,713173.95,180.0,45.0,3962.0775,56.0,4018.0775
45,2012-10-05,B,733455.0700000001,180.0,45.0,4074.750388888889,56.0,4130.75038888889
45,2012-10-12,B,734464.36,180.0,45.0,4080.3575555555553,56.0,4136.357555555555
45,2012-10-19,B,718125.53,180.0,45.0,3989.586277777778,56.0,4045.586277777778
45,2012-10-26,B,760281.43,180.0,45.0,4223.785722222223,56.0,4279.785722222223
